,particle,material,thickness,p,cos_theta,efficiency,hit_additional_layer,all
183,single_n0,ld,20,0.8500000000000001,0.35000000000000003,0.005252100840336135,5.0,952.0
184,single_n0,ld,20,0.8500000000000001,0.45,0.00425531914893617,4.0,940.0
185,single_n0,ld,20,0.8500000000000001,0.55,0.0066815144766146995,6.0,898.0
186,single_n0,ld,20,0.8500000000000001,0.6500000000000001,0.005434782608695652,5.0,920.0
187,single_n0,ld,20,0.8500000000000001,0.75,0.003393665158371041,3.0,884.0
188,single_n0,ld,20,0.8500000000000001,0.8500000000000001,0.007616974972796518,7.0,919.0
189,single_n0,ld,20,0.95,0.05,0.0031413612565445027,3.0,955.0
190,single_n0,ld,20,0.95,0.15000000000000002,0.007625272331154684,7.0,918.0
191,single_n0,ld,20,0.95,0.25,0.0010695187165775401,1.0,935.0
192,single_n0,ld,20,0.95,0.35000000000000003,0.007268951194184839,7.0,963.0
193,single_n0,ld,20,0.95,0.45,0.00776914539400666,7.0,901.0
194,single_n0,ld,20,0.95,0.55,0.007246376811594203,7.0,966.0
195,single_n0,ld,20,0.95,0.6500000000000001,0.00644468313641246,6.0,931.0
196,single_n0,ld,20,0.95,0.75,0.007352941176470588,7.0,952.0
197,single_n0,ld,20,0.95,0.8500000000000001,0.009122006841505131,8.0,877.0
198,single_n0,ld,20,1.05,0.05,0.006472491909385114,6.0,927.0
199,single_n0,ld,20,1.05,0.15000000000000002,0.005252100840336135,5.0,952.0
200,single_n0,ld,20,1.05,0.25,0.002129925452609159,2.0,939.0
201,single_n0,ld,20,1.05,0.35000000000000003,0.006825938566552901,6.0,879.0
202,single_n0,ld,20,1.05,0.45,0.005470459518599562,5.0,914.0
203,single_n0,ld,20,1.05,0.55,0.005405405405405406,5.0,925.0
204,single_n0,ld,20,1.05,0.6500000000000001,0.004381161007667032,4.0,913.0
205,single_n0,ld,20,1.05,0.75,0.007891770011273957,7.0,887.0
206,single_n0,ld,20,1.05,0.8500000000000001,0.013457556935817806,13.0,966.0
207,single_n0,ld,20,1.1500000000000001,0.05,0.00562429696287964,5.0,889.0
208,single_n0,ld,20,1.1500000000000001,0.15000000000000002,0.0011325028312570782,1.0,883.0
209,single_n0,ld,20,1.1500000000000001,0.25,0.004287245444801715,4.0,933.0
210,single_n0,ld,20,1.1500000000000001,0.35000000000000003,0.003264417845484222,3.0,919.0
211,single_n0,ld,20,1.1500000000000001,0.45,0.007616974972796518,7.0,919.0
212,single_n0,ld,20,1.1500000000000001,0.55,0.0033076074972436605,3.0,907.0
213,single_n0,ld,20,1.1500000000000001,0.6500000000000001,0.0030241935483870967,3.0,992.0
214,single_n0,ld,20,1.1500000000000001,0.75,0.007518796992481203,7.0,931.0
215,single_n0,ld,20,1.1500000000000001,0.8500000000000001,0.01092896174863388,10.0,915.0
